package,activity,widget_id,widget_type,widget_text,flaw_type,info
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/tool_bar,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,36,48
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/pager_header,android.widget.TextView,,ACCESSIBILITY_SIZE_FLAW,0,19
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_cards,android.widget.ListView,,ACCESSIBILITY_SIZE_FLAW,0,571
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/refine_search_container,android.widget.LinearLayout,,ACCESSIBILITY_SIZE_FLAW,411,0
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_commit_owner,android.widget.TextView,doc HD,ACCESSIBILITY_SIZE_FLAW,64,27
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_settings,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,44,44
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_committer_image,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,20,48
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_committer_image,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/tool_bar-child-2:android.widget.ImageView,android.widget.ImageView,,ACCESSIBILITY_CONTRAST_FLAW,2.3231230535045992
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/pager_header-child-2:android.widget.TextView,android.widget.TextView,Merged,ACCESSIBILITY_CONTRAST_FLAW,2.5142725384493976
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_committer_image,android.widget.ImageView,,ACCESSIBILITY_CONTRAST_FLAW,3.1315743843019344
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_last_updated,android.widget.TextView,08:40 PM,ACCESSIBILITY_CONTRAST_FLAW,3.6900293509358773
com.jbirdvegas.mgerrit,activities.GerritControllerActivity,:id/commit_card_project_name,android.widget.TextView,AICP/build,ACCESSIBILITY_CONTRAST_FLAW,1.7625598210034286
