package,activity,widget_id,widget_type,widget_text,flaw_type,info
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/pomodoro_clear,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/pomodoro_clear,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,51,21
com.kpz.pomodorotasks.activity,TaskBrowserActivity,android:id/title,android.widget.TextView,Pomodoro Tasks,ACCESSIBILITY_CONTRAST_FLAW,4.0041069566148515
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/pomodoro_clear,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,1.5576477079596818
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/quick_start_title,android.widget.TextView,Based on the Pomodoro Technique™ by Francesco Cirillo,ACCESSIBILITY_CONTRAST_FLAW,3.781317638687644
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/first_step,android.widget.TextView,* Eliminate the anxiety of time,ACCESSIBILITY_CONTRAST_FLAW,4.135965740106309
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/second_step,android.widget.TextView,* Enhance focus and concentration,ACCESSIBILITY_CONTRAST_FLAW,4.21750165965019
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/list_empty-child-0:android.widget.TextView,android.widget.TextView,To get started- see,ACCESSIBILITY_CONTRAST_FLAW,4.341678945326528
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/go_to_help,android.widget.TextView, Help,ACCESSIBILITY_CONTRAST_FLAW,3.4238797100184555
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/add_task_input_box,android.widget.EditText,New Task,ACCESSIBILITY_CONTRAST_FLAW,3.6217305806715783
com.kpz.pomodorotasks.activity,TaskBrowserActivity,:id/add_task_input_box,android.widget.EditText,New Task,DUPLICATE_SPEAKABLE_TEXT_FLAW,
com.kpz.pomodorotasks.activity,TaskBrowserActivity,android:id/button1,android.widget.Button,Yes,ACCESSIBILITY_CONTRAST_FLAW,2.623560939368976
com.kpz.pomodorotasks.activity,TaskBrowserActivity,android:id/button2,android.widget.Button,No,ACCESSIBILITY_CONTRAST_FLAW,2.623560939368976
com.kpz.pomodorotasks.activity,PreferencesActivity,android:id/title,android.widget.TextView,Task Settings,ACCESSIBILITY_SIZE_FLAW,411,30
com.kpz.pomodorotasks.activity,PreferencesActivity,android:id/title,android.widget.TextView,Pomodoro Tasks,ACCESSIBILITY_CONTRAST_FLAW,4.0041069566148515
com.kpz.pomodorotasks.activity,PreferencesActivity,:id/task_duration_seekbar,android.widget.SeekBar,,MISSING_SPEAKABLE_TEXT_FLAW,
com.kpz.pomodorotasks.activity,PreferencesActivity,:id/task_duration_info,android.widget.TextView,25 min,ACCESSIBILITY_CONTRAST_FLAW,3.140462059565352
com.kpz.pomodorotasks.activity,PreferencesActivity,android:id/button1,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,2.623560939368976
com.kpz.pomodorotasks.activity,PreferencesActivity,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,2.623560939368976
com.kpz.pomodorotasks.activity,HelpActivity,:id/visitText,android.widget.TextView,Visit www.pomodorotechnique.com to learn more about the technique.,ACCESSIBILITY_SIZE_FLAW,373,43
com.kpz.pomodorotasks.activity,HelpActivity,android:id/title,android.widget.TextView,Pomodoro Tasks,ACCESSIBILITY_CONTRAST_FLAW,4.0041069566148515
com.kpz.pomodorotasks.activity,HelpActivity,:id/back,android.widget.Button,Back,ACCESSIBILITY_CONTRAST_FLAW,1.5520625284783711
com.kpz.pomodorotasks.activity,HelpActivity,:id/title,android.widget.TextView,Help,ACCESSIBILITY_CONTRAST_FLAW,2.082436067311886
com.kpz.pomodorotasks.activity,HelpActivity,android:id/content-child-0:android.widget.TextView,android.widget.TextView,What is Pomodoro Technique?,ACCESSIBILITY_CONTRAST_FLAW,3.781317638687644
