package,activity,widget_id,widget_type,widget_text,flaw_type,info
com.nolanlawson.keepscore,MainActivity,android:id/alertTitle,android.widget.TextView,Welcome to KeepScore!,ACCESSIBILITY_CONTRAST_FLAW,2.168716292881811
com.nolanlawson.keepscore,MainActivity,android:id/content-child-1:android.widget.TextView,android.widget.TextView,Saved Games,ACCESSIBILITY_CONTRAST_FLAW,2.331247944488006
com.nolanlawson.keepscore,MainActivity,android:id/empty,android.widget.TextView,Your saved games will appear here.,ACCESSIBILITY_CONTRAST_FLAW,2.3270766754193133
com.nolanlawson.keepscore,MainActivity,android:id/select_dialog_listview,android.widget.RelativeLayout,,ACCESSIBILITY_SIZE_FLAW,358,10
com.nolanlawson.keepscore,MainActivity,:id/text_auto_or_manual,android.widget.TextView,Manual#Backup,ACCESSIBILITY_CONTRAST_FLAW,2.1308539816957053
com.nolanlawson.keepscore,MainActivity,:id/text_filename,android.widget.TextView,games-20170917042625.xml.gz,ACCESSIBILITY_CONTRAST_FLAW,1.7048478226495314
com.nolanlawson.keepscore,MainActivity,:id/text_num_games,android.widget.TextView,11,ACCESSIBILITY_CONTRAST_FLAW,2.1308539816957053
com.nolanlawson.keepscore,MainActivity,:id/text_date_saved,android.widget.TextView,Sep 15 2017 06:32PM,ACCESSIBILITY_CONTRAST_FLAW,1.3201406249560588
com.nolanlawson.keepscore,MainActivity,android:id/checkbox,android.widget.CheckBox,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,MainActivity,:id/list_header_title,android.widget.TextView,Today,ACCESSIBILITY_SIZE_FLAW,411,32
com.nolanlawson.keepscore,MainActivity,android:id/checkbox,android.widget.CheckBox,,ACCESSIBILITY_SIZE_FLAW,28,32
com.nolanlawson.keepscore,MainActivity,:id/list_header_title,android.widget.TextView,Today,ACCESSIBILITY_CONTRAST_FLAW,1.6076174580745173
com.nolanlawson.keepscore,MainActivity,:id/text_num_players,android.widget.TextView,2,ACCESSIBILITY_CONTRAST_FLAW,2.3065122729913976
com.nolanlawson.keepscore,MainActivity,:id/text_game_subtitle,android.widget.TextView,5 Rounds,ACCESSIBILITY_CONTRAST_FLAW,1.8453880276651202
com.nolanlawson.keepscore,NewGameActivity,:id/button_2_players,android.widget.Button,2,ACCESSIBILITY_CONTRAST_FLAW,1.451191493459334
com.nolanlawson.keepscore,NewGameActivity,:id/button_3_players,android.widget.Button,3,ACCESSIBILITY_CONTRAST_FLAW,1.4515966845025308
com.nolanlawson.keepscore,NewGameActivity,:id/button_4_players,android.widget.Button,4,ACCESSIBILITY_CONTRAST_FLAW,1.451998626268288
com.nolanlawson.keepscore,NewGameActivity,:id/button_5_players,android.widget.Button,5,ACCESSIBILITY_CONTRAST_FLAW,1.4468522780832123
com.nolanlawson.keepscore,NewGameActivity,:id/button_6_players,android.widget.Button,6,ACCESSIBILITY_CONTRAST_FLAW,1.4472676951639722
com.nolanlawson.keepscore,NewGameActivity,:id/button_7_players,android.widget.Button,7,ACCESSIBILITY_CONTRAST_FLAW,1.4476799096176587
com.nolanlawson.keepscore,NewGameActivity,:id/button_8_players,android.widget.Button,8,ACCESSIBILITY_CONTRAST_FLAW,1.448088898210082
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_color_image,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_color_image,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,28,28
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_name_edit_text,android.widget.EditText,Player 1,ACCESSIBILITY_SIZE_FLAW,325,38
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_name_edit_text,android.widget.EditText,Player 1,ACCESSIBILITY_CONTRAST_FLAW,3.249179433185088
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_name_edit_text,android.widget.EditText,Player 1,DUPLICATE_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,:id/player_color_image,android.widget.ImageView,,ACCESSIBILITY_CONTRAST_FLAW,2.4495775957973844
com.nolanlawson.keepscore,NamePlayersActivity,:id/column_1,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,:id/column_2,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,:id/column_3,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,:id/column_4,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
com.nolanlawson.keepscore,NamePlayersActivity,android:id/alertTitle,android.widget.TextView,Choose a Color,ACCESSIBILITY_CONTRAST_FLAW,2.168716292881811
