package,activity,widget_id,widget_type,widget_text,flaw_type,info
de.delusions.measure,activities.prefs.UserPreferences,android:id/title,android.widget.TextView,Basic Settings,ACCESSIBILITY_SIZE_FLAW,411,24
de.delusions.measure,activities.prefs.UserPreferences,android:id/list,android.widget.LinearLayout,,ACCESSIBILITY_SIZE_FLAW,411,44
de.delusions.measure,activities.prefs.UserPreferences,android:id/summary,android.widget.TextView,Set time for daily reminder,ACCESSIBILITY_CONTRAST_FLAW,1.1302418158518894
de.delusions.measure,activities.prefs.UserPreferences,android:id/button1,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,2.573352682508454
de.delusions.measure,activities.prefs.UserPreferences,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,2.573352682508454
de.delusions.measure,MeasureTabs,:id/minusminus,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
de.delusions.measure,MeasureTabs,:id/minus,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
de.delusions.measure,MeasureTabs,:id/plus,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
de.delusions.measure,MeasureTabs,:id/plusplus,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
de.delusions.measure,MeasureTabs,:id/set,android.widget.Button,Set Current Weight in kg,ACCESSIBILITY_SIZE_FLAW,371,30
de.delusions.measure,MeasureTabs,:id/minusminus,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,41,60
de.delusions.measure,MeasureTabs,:id/minus,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,41,60
de.delusions.measure,MeasureTabs,:id/plus,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,41,60
de.delusions.measure,MeasureTabs,:id/plusplus,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,41,60
de.delusions.measure,MeasureTabs,android:id/title,android.widget.TextView,Tracking,ACCESSIBILITY_CONTRAST_FLAW,4.0041069566148515
de.delusions.measure,MeasureTabs,:id/minus,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.089605528848847
de.delusions.measure,MeasureTabs,:id/plus,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.089605528848847
de.delusions.measure,MeasureTabs,:id/calculator,android.widget.Button,BMI Calculator,ACCESSIBILITY_SIZE_FLAW,391,30
de.delusions.measure,MeasureTabs,:id/label,android.widget.TextView,Statistics,ACCESSIBILITY_CONTRAST_FLAW,3.4886012204145596
de.delusions.measure,MeasureTabs,:id/value,android.widget.TextView,0.9,ACCESSIBILITY_CONTRAST_FLAW,3.827683580717234
de.delusions.measure,MeasureTabs,:id/unit,android.widget.TextView,kg,ACCESSIBILITY_CONTRAST_FLAW,3.5976722830060712
de.delusions.measure,MeasureTabs,:id/calculator,android.widget.Button,BMI Calculator,ACCESSIBILITY_CONTRAST_FLAW,1.7377890080220009
de.delusions.measure,activities.bmi.BmiCalcActivity,:id/userHeight,android.widget.EditText,Enter your height,ACCESSIBILITY_SIZE_FLAW,249,36
de.delusions.measure,activities.bmi.BmiCalcActivity,:id/userWeight,android.widget.EditText,Enter your weight,ACCESSIBILITY_SIZE_FLAW,249,36
de.delusions.measure,activities.bmi.BmiCalcActivity,:id/go,android.widget.Button,Go,ACCESSIBILITY_SIZE_FLAW,249,29
