package,activity,widget_id,widget_type,widget_text,flaw_type,info
org.dmfs.tasks,TaskListActivity,:id/floating_action_button,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
org.dmfs.tasks,TaskListActivity,android:id/list,android.widget.ExpandableListView,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
org.dmfs.tasks,TaskListActivity,android:id/list,android.widget.ExpandableListView,,ACCESSIBILITY_SIZE_FLAW,0,555
org.dmfs.tasks,TaskListActivity,:id/toolbar,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,40,48
org.dmfs.tasks,TaskListActivity,:id/toolbar-child-0:android.widget.TextView,android.widget.TextView,Tasks,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/toolbar-child-0:android.widget.ImageView,android.widget.ImageView,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-0:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-1:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-2:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-3:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-4:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/tabs-child-5:android.support.v7.app.ActionBar$Tab,android.support.v7.app.ActionBar$Tab,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/pager,android.support.v4.view.ViewPager,,ACCESSIBILITY_CONTRAST_FLAW,2.775880814644327
org.dmfs.tasks,TaskListActivity,:id/floating_action_button,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.775880814644327
org.dmfs.tasks,TaskListActivity,android:id/title,android.widget.TextView,Already Started,ACCESSIBILITY_CONTRAST_FLAW,3.2226601534228987
org.dmfs.tasks,TaskListActivity,android:id/text2,android.widget.TextView,0 tasks,ACCESSIBILITY_CONTRAST_FLAW,2.038523043192234
org.dmfs.tasks,TaskListActivity,:id/search_src_text,android.widget.EditText,Search,ACCESSIBILITY_SIZE_FLAW,299,36
org.dmfs.tasks,TaskListActivity,:id/toolbar-child-0:android.widget.ImageButton,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,TaskListActivity,:id/search_src_text,android.widget.EditText,Search,ACCESSIBILITY_CONTRAST_FLAW,1.9687325714873163
org.dmfs.tasks,TaskListActivity,:id/search_src_text,android.widget.EditText,Search,DUPLICATE_SPEAKABLE_TEXT_FLAW,
org.dmfs.tasks,SyncSettingsActivity,:id/btn_settings,android.widget.ImageView,,MISSING_SPEAKABLE_TEXT_FLAW,
org.dmfs.tasks,SyncSettingsActivity,:id/action_bar-child-0:android.widget.ImageButton,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,3.5185868622496472
org.dmfs.tasks,SyncSettingsActivity,:id/action_bar-child-1:android.widget.TextView,android.widget.TextView,Displayed Lists,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
org.dmfs.tasks,SyncSettingsActivity,:id/btn_settings,android.widget.ImageView,,ACCESSIBILITY_CONTRAST_FLAW,1.84518674838884
org.dmfs.tasks,ManageListActivity,android:id/input,android.widget.EditText,list name,ACCESSIBILITY_SIZE_FLAW,247,44
org.dmfs.tasks,ManageListActivity,android:id/input,android.widget.EditText,list name,ACCESSIBILITY_CONTRAST_FLAW,3.5185868622496472
org.dmfs.tasks,ManageListActivity,android:id/input,android.widget.EditText,list name,DUPLICATE_SPEAKABLE_TEXT_FLAW,
