package,activity,widget_id,widget_type,widget_text,flaw_type,info
org.openintents.notepad,/org.openintents.distribution.EulaActivity,:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,2.7286299250344315
org.openintents.notepad,/org.openintents.distribution.EulaActivity,:id/button1,android.widget.Button,Accept,ACCESSIBILITY_CONTRAST_FLAW,2.7286299250344315
org.openintents.notepad,/org.openintents.distribution.NewVersionActivity,:id/button1,android.widget.Button,Continue,ACCESSIBILITY_CONTRAST_FLAW,2.7286299250344315
org.openintents.notepad,noteslist.NotesList,:id/button1,android.widget.Button,Continue,ACCESSIBILITY_CONTRAST_FLAW,2.7286299250344315
org.openintents.notepad,noteslist.NotesList,android:id/action_bar,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
org.openintents.notepad,NoteEditor,:id/note,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,filename.DialogHostingActivity,:id/file_manager,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,filename.DialogHostingActivity,android:id/button1,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,2.727411014321566
org.openintents.notepad,filename.DialogHostingActivity,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,2.727411014321566
org.openintents.notepad,NoteEditor,android:id/button1,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,2.727411014321566
org.openintents.notepad,NoteEditor,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,2.727411014321566
org.openintents.notepad,noteslist.NotesList,android:id/search_src_text,android.widget.EditText,   Search,ACCESSIBILITY_SIZE_FLAW,187,36
org.openintents.notepad,noteslist.NotesList,android:id/search_src_text,android.widget.EditText,   Search,DUPLICATE_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,noteslist.NotesList,android:id/search_close_btn,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,40,36
org.openintents.notepad,NoteEditor,:id/btnForward,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,NoteEditor,:id/btnBackward,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,NoteEditor,:id/btnClose,android.widget.ImageButton,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,NoteEditor,:id/btnForward,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
org.openintents.notepad,NoteEditor,:id/btnBackward,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
org.openintents.notepad,NoteEditor,:id/btnClose,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,42,48
org.openintents.notepad,NoteEditor,:id/edtSearchWord,android.widget.EditText,Search,ACCESSIBILITY_CONTRAST_FLAW,2.1204398542068015
org.openintents.notepad,NoteEditor,:id/edtSearchWord,android.widget.EditText,Search,DUPLICATE_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,NoteEditor,:id/btnForward,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.9690302663859724
org.openintents.notepad,NoteEditor,:id/btnBackward,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.9690302663859724
org.openintents.notepad,NoteEditor,:id/btnClose,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,2.9690302663859724
org.openintents.notepad,NoteEditor,:id/note,android.widget.EditText,#,ACCESSIBILITY_CONTRAST_FLAW,3.2172279772114387
org.openintents.notepad,noteslist.NotesList,android:id/list,android.widget.LinearLayout,,MISSING_SPEAKABLE_TEXT_FLAW,
org.openintents.notepad,noteslist.NotesList,:id/title,android.widget.TextView,#,ACCESSIBILITY_CONTRAST_FLAW,1.5911366887561762
