package,activity,widget_id,widget_type,widget_text,flaw_type,info
protect.budgetwatch,permission.ui.GrantPermissionsActivity,:id/permission_deny_button,android.widget.Button,Deny,ACCESSIBILITY_CONTRAST_FLAW,3.2415605925446007
protect.budgetwatch,permission.ui.GrantPermissionsActivity,:id/permission_allow_button,android.widget.Button,Allow,ACCESSIBILITY_CONTRAST_FLAW,3.2415605925446007
protect.budgetwatch,MainActivity,:id/toolbar,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,40,48
protect.budgetwatch,ImportExportActivity,:id/importOptionFixedButton,android.widget.Button,Use export location,ACCESSIBILITY_SIZE_FLAW,379,14
protect.budgetwatch,ImportExportActivity,:id/exportFileFormatSpinner,android.widget.Spinner,,ACCESSIBILITY_SIZE_FLAW,293,24
protect.budgetwatch,ImportExportActivity,:id/importFileFormatSpinner,android.widget.Spinner,,ACCESSIBILITY_SIZE_FLAW,293,24
protect.budgetwatch,ImportExportActivity,android:id/button3,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
protect.budgetwatch,ImportExportActivity,android:id/button1,android.widget.Button,Send…,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
protect.budgetwatch,MainActivity,,android.widget.LinearLayout,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
protect.budgetwatch,MainActivity,:id/custom,android.view.View,,ACCESSIBILITY_SIZE_FLAW,363,38
protect.budgetwatch,MainActivity,:id/custom,android.view.View,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,MainActivity,android.widget.Image-,android.widget.Image,,ACCESSIBILITY_CONTRAST_FLAW,2.0215463515134533
protect.budgetwatch,MainActivity,android:id/button1,android.widget.Button,OK,ACCESSIBILITY_CONTRAST_FLAW,3.672578596072024
protect.budgetwatch,MainActivity,:id/expanded_menu,android.widget.LinearLayout,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
protect.budgetwatch,TransactionActivity,:id/toolbar,android.widget.ImageView,,ACCESSIBILITY_SIZE_FLAW,40,48
protect.budgetwatch,TransactionActivity,,android.widget.LinearLayout,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
protect.budgetwatch,TransactionActivity,:id/expanded_menu,android.widget.LinearLayout,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
protect.budgetwatch,TransactionActivity,android:id/date_picker_header_year,android.widget.TextView,2017,ACCESSIBILITY_SIZE_FLAW,301,37
protect.budgetwatch,TransactionActivity,android:id/date_picker_header_date,android.widget.TextView,Sun- Sep 17,ACCESSIBILITY_SIZE_FLAW,179,45
protect.budgetwatch,TransactionActivity,android:id/month_view,android.view.View,1,ACCESSIBILITY_SIZE_FLAW,44,40
protect.budgetwatch,TransactionActivity,android:id/date_picker_header_year,android.widget.TextView,2017,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/date_picker_header_date,android.widget.TextView,Sun- Sep 17,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/day_picker_view_pager,com.android.internal.widget.ViewPager,,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-0:android.view.View,android.view.View,1,ACCESSIBILITY_CONTRAST_FLAW,3.9984767707539985
protect.budgetwatch,TransactionActivity,android:id/month_view-child-1:android.view.View,android.view.View,2,ACCESSIBILITY_CONTRAST_FLAW,3.9984767707539985
protect.budgetwatch,TransactionActivity,android:id/month_view-child-16:android.view.View,android.view.View,17,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/button1,android.widget.Button,Clean,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionViewActivity,:id/nameEdit,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,TransactionViewActivity,:id/accountEdit,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,TransactionViewActivity,:id/valueEdit,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,TransactionViewActivity,:id/noteEdit,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,TransactionViewActivity,:id/budgetSpinner,android.widget.Spinner,,ACCESSIBILITY_SIZE_FLAW,310,24
protect.budgetwatch,TransactionViewActivity,:id/toolbar-child-0:android.widget.ImageButton,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,3.77747118823737
protect.budgetwatch,BudgetViewActivity,:id/valueEdit,android.widget.EditText,,MISSING_SPEAKABLE_TEXT_FLAW,
protect.budgetwatch,BudgetViewActivity,:id/toolbar-child-0:android.widget.ImageButton,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,3.77747118823737
protect.budgetwatch,BudgetViewActivity,:id/budgetNameEdit,android.widget.EditText,Teloogoo,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,BudgetViewActivity,android:id/content,android.widget.LinearLayout,,ACCESSIBILITY_SIZE_FLAW,411,47
protect.budgetwatch,BudgetViewActivity,:id/valueEdit,android.widget.EditText,Oeneus,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-2:android.view.View,android.view.View,3,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-9:android.view.View,android.view.View,10,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/text1,android.widget.TextView,2015,ACCESSIBILITY_SIZE_FLAW,349,30
protect.budgetwatch,TransactionActivity,android:id/text1,android.widget.TextView,2015,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-23:android.view.View,android.view.View,24,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,SettingsActivity,android:id/button2,android.widget.Button,Cancel,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-26:android.view.View,android.view.View,27,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-10:android.view.View,android.view.View,11,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,TransactionActivity,android:id/month_view-child-17:android.view.View,android.view.View,18,ACCESSIBILITY_CONTRAST_FLAW,3.3320882086652337
protect.budgetwatch,BudgetActivity,android:id/date_picker_header_year,android.widget.TextView,2017,ACCESSIBILITY_SIZE_FLAW,300,37
protect.budgetwatch,BudgetActivity,android:id/date_picker_header_date,android.widget.TextView,Sun- Sep 17,ACCESSIBILITY_SIZE_FLAW,179,45
protect.budgetwatch,BudgetActivity,android:id/month_view,android.view.View,1,ACCESSIBILITY_SIZE_FLAW,43,40
