package,activity,widget_id,widget_type,widget_text,flaw_type,info
uk.co.busydoingnothing.prevo,SearchActivity,:id/search_edit,android.widget.EditText,Tajpu ion por serĉi,ACCESSIBILITY_SIZE_FLAW,411,44
uk.co.busydoingnothing.prevo,SearchActivity,android:id/action_bar,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
uk.co.busydoingnothing.prevo,SearchActivity,:id/search_edit,android.widget.EditText,Tajpu ion por serĉi,DUPLICATE_SPEAKABLE_TEXT_FLAW,
uk.co.busydoingnothing.prevo,SearchActivity,android:id/text1,android.widget.TextView,abandono,ACCESSIBILITY_SIZE_FLAW,411,17
uk.co.busydoingnothing.prevo,SearchActivity,android:id/text1,android.widget.TextView,abandono,ACCESSIBILITY_CONTRAST_FLAW,1.5911366887561762
uk.co.busydoingnothing.prevo,ArticleActivity,android:id/action_bar,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
uk.co.busydoingnothing.prevo,ArticleActivity,:id/article_scroll_view,android.widget.TextView,MAT ##(p.p. vektora spaco aŭ afina spaco) Kies dimensio egalas al n; kiu havas n dimensiojn : nuldimensia afina spaco konsistas el nur unu punkto; unudimensia spaco estas nomata rekto; finidimensia spaco; malfinidimensia spaco; tridimensia kurbo (neebena kurbo). ,ACCESSIBILITY_SIZE_FLAW,411,0
uk.co.busydoingnothing.prevo,ArticleActivity,:id/section_header,android.widget.TextView,tridimensia- 3-dimensia,ACCESSIBILITY_SIZE_FLAW,411,32
uk.co.busydoingnothing.prevo,ArticleActivity,:id/article_scroll_view-child-0:android.widget.TextView,android.widget.TextView,MAT ##(p.p. vektora spaco aŭ afina spaco) Kies dimensio egalas al n; kiu havas n dimensiojn : nuldimensia afina spaco konsistas el nur unu punkto; unudimensia spaco estas nomata rekto; finidimensia spaco; malfinidimensia spaco; tridimensia kurbo (neebena kurbo). ,ACCESSIBILITY_CONTRAST_FLAW,1.3041702884582542
uk.co.busydoingnothing.prevo,ArticleActivity,:id/section_header,android.widget.TextView,a,ACCESSIBILITY_CONTRAST_FLAW,3.118139645863734
uk.co.busydoingnothing.prevo,PreferenceActivity,android:id/title,android.widget.TextView,Montritaj tradukoj,ACCESSIBILITY_SIZE_FLAW,411,32
uk.co.busydoingnothing.prevo,PreferenceActivity,android:id/text1,android.widget.CheckedTextView,asama,ACCESSIBILITY_SIZE_FLAW,411,29
uk.co.busydoingnothing.prevo,ArticleActivity,:id/article_scroll_view-child-3:android.widget.TextView,android.widget.TextView,-~: -і- -ы,ACCESSIBILITY_CONTRAST_FLAW,3.118139645863734
uk.co.busydoingnothing.prevo,SelectLanguageActivity,android:id/action_bar,android.widget.ImageButton,,ACCESSIBILITY_SIZE_FLAW,40,48
uk.co.busydoingnothing.prevo,SelectLanguageActivity,android:id/title,android.widget.TextView,Ĉefaj lingvoj,ACCESSIBILITY_SIZE_FLAW,411,32
uk.co.busydoingnothing.prevo,SelectLanguageActivity,android:id/text1,android.widget.TextView,azerbajĝana,ACCESSIBILITY_SIZE_FLAW,411,45
uk.co.busydoingnothing.prevo,ArticleActivity,android:id/zoomOut,android.widget.ZoomButton,,MISSING_SPEAKABLE_TEXT_FLAW,
uk.co.busydoingnothing.prevo,ArticleActivity,android:id/zoomIn,android.widget.ZoomButton,,MISSING_SPEAKABLE_TEXT_FLAW,
uk.co.busydoingnothing.prevo,SearchActivity,android:id/action_bar-child-0:android.widget.TextView,android.widget.TextView,as,ACCESSIBILITY_CONTRAST_FLAW,1.3041702884582542
uk.co.busydoingnothing.prevo,SearchActivity,android:id/action_bar-child-1:android.widget.TextView,android.widget.TextView,af,ACCESSIBILITY_CONTRAST_FLAW,1.3041702884582542
uk.co.busydoingnothing.prevo,SearchActivity,android:id/action_bar-child-2:android.widget.ImageButton,android.widget.ImageButton,,ACCESSIBILITY_CONTRAST_FLAW,1.3041702884582542
uk.co.busydoingnothing.prevo,SearchActivity,:id/search_edit,android.widget.EditText,lierre,ACCESSIBILITY_CONTRAST_FLAW,1.5911366887561762
uk.co.busydoingnothing.prevo,SearchActivity,android:id/empty,android.widget.TextView,Neniuj vortoj troviĝis,ACCESSIBILITY_CONTRAST_FLAW,1.5911366887561762
uk.co.busydoingnothing.prevo,SelectLanguageActivity,,android.widget.LinearLayout,,DUPLICATE_CLICKABLE_BOUNDS_FLAW,
